train_loss,validation_loss,validation_nll,validation_accuracy
1.453751839697361,2.345201402902603,1.5524067394435406,0.5015980154275894
1.3186175748705864,2.0178388953208923,1.3272984474897385,0.47176846861839294
1.1724273823201656,1.6749610304832458,1.0921444594860077,0.49129971861839294
1.0266560316085815,1.3940283060073853,0.9032736197113991,0.5358664765954018
0.9367886446416378,1.248820960521698,0.8133741095662117,0.5205965936183929
0.878191489726305,1.209035336971283,0.7988761812448502,0.4978693202137947
0.8311644345521927,1.1796999424695969,0.785561665892601,0.4978693202137947
0.791831336915493,1.1759257018566132,0.7926190048456192,0.4978693202137947
0.7636421732604504,1.1583099216222763,0.7872547507286072,0.4959161952137947
0.7456955723464489,1.1434339433908463,0.7850598692893982,0.5017755702137947
0.7201378233730793,1.130480408668518,0.7827707380056381,0.5056818202137947
0.692904993891716,1.1239592283964157,0.7866683602333069,0.5095880702137947
