train_loss,validation_loss,validation_nll,validation_accuracy,validation_medium_probability
1.3902749393836664,1.8427162635124337,1.003844799631733,0.34322034150867137,0.34101483579409325
1.363820807936063,1.800969156168275,0.9850582581455425,0.34110169643062654,0.3480208536325875
1.3329192936815173,1.750071438692384,0.9605890734721039,0.3411016928947578,0.3553948745889179
1.294788347062009,1.683478379653672,0.9261588090557163,0.3347457627118644,0.36318646043033925
1.250984650573983,1.6005062107312478,0.8807988490088511,0.34322034049842315,0.36997656801999623
1.1974560060699593,1.5079804113355733,0.8288748830051745,0.34322033696255444,0.3781784580925764
1.1357988067246205,1.4171633316298662,0.7789640285200992,0.3516949147491132,0.38752107903108757
1.0703108912948853,1.3397986121096854,0.7402695240610737,0.3538135588169098,0.39436214859202756
1.0054763279777714,1.2895211759260146,0.7221141179739419,0.36228813660346854,0.4033158259876704
0.952386205164802,1.2557516784991247,0.7148313274828054,0.3813559327085139,0.4104591850507057
0.9018614883116087,1.2263653490502955,0.708107996795137,0.3983050847457627,0.41790622573787883
0.8446572881435153,1.20383628748231,0.7059709975274943,0.39618643865746966,0.42599377440193953
0.7984657582519409,1.1940743135193648,0.7111955987194837,0.39830508222014216,0.4373795521461358
0.7494531516320545,1.1870470733965857,0.7208471970032837,0.41101694662692184,0.4454357977640831
0.7062687204486374,1.1843243928278906,0.731837254459575,0.40466101442353203,0.4518235558170383
0.6728684893732603,1.1915748856835446,0.747798483755629,0.41737287883031166,0.4559142412775654
0.6512931200165509,1.1938655689611273,0.7582377038769803,0.41737287883031166,0.45723661477282895
0.6282101694772914,1.202190063767514,0.7691485018043195,0.41525423476251505,0.4609042497004493
0.6094001428124582,1.2060024132162839,0.7773889697204202,0.40889830255912524,0.46039233975491284
0.5936832161251959,1.2133563999402321,0.7852122889736951,0.41525423476251505,0.45893068889440114
